county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Snyder,2003,5.5,1,,,,Dauphin,2008,9.3,0,,,,,
Sullivan,2003,NA,1,,,,Delaware,2008,22,0,,,,,
Tioga,2003,11.4,1,,,,Erie,2008,7.5,0,,,,,
Union,2003,6.6,1,,,,Lackawanna,2008,15.5,0,,,,,
Warren,2003,NA,1,,,,Lancaster,2008,8.3,0,,,,,
Adams,2004,7.5,1,,,,Lebanon,2008,8.5,0,,,,,
Armstrong,2004,13.2,1,,,,Lehigh,2008,14.1,0,,,,,
Bedford,2004,5.6,1,,,,Luzerne,2008,16.6,0,,,,,
Blair,2004,7.8,1,,,,Montgomery,2008,12,0,,,,,
Bradford,2004,10.7,1,,,,Northampton,2008,15.9,0,,,,,
Butler,2004,9.7,1,,,,Philadelphia,2008,52,0,,,,,
Cambria,2004,10.3,1,,,,Westmoreland,2008,21,0,,,,,
Carbon,2004,14.7,1,,,,York,2008,7.9,0,,,,,
Centre,2004,9.7,1,,,,Allegheny,2009,20.2,0,,,,,
Clearfield,2004,12.2,1,,,,Beaver,2009,13.7,0,,,,,
Columbia,2004,15.1,1,,,,Berks,2009,15.3,0,,,,,
Crawford,2004,13.2,1,,,,Bucks,2009,14.1,0,,,,,
Elk,2004,16.7,1,,,,Chester,2009,8.7,0,,,,,
Fayette,2004,18.1,1,,,,Cumberland,2009,7,0,,,,,
Franklin,2004,11.1,1,,,,Dauphin,2009,11.9,0,,,,,
Greene,2004,13.8,1,,,,Delaware,2009,24.2,0,,,,,
Huntingdon,2004,12.3,1,,,,Erie,2009,7.8,0,,,,,
Indiana,2004,17,1,,,,Lackawanna,2009,16,0,,,,,
Jefferson,2004,9.2,1,,,,Lancaster,2009,9.3,0,,,,,
Lawrence,2004,29.6,1,,,,Lebanon,2009,9.9,0,,,,,
Lycoming,2004,7.5,1,,,,Lehigh,2009,15.5,0,,,,,
McKean,2004,19.2,1,,,,Luzerne,2009,14.9,0,,,,,
Mercer,2004,14.2,1,,,,Montgomery,2009,13.5,0,,,,,
Mifflin,2004,13.6,1,,,,Northampton,2009,17.7,0,,,,,
